compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
Plumbagin,0.6548944,0.19916295,-0.19907348,-0.7546436,-0.56915593,-1.1159551,-0.5132731,0.4533786,0.15863623,0.89624053,1.1314423,-0.19893678,-0.12373234,-0.2949759,0.7776714,-0.31647497,0.33288056,-0.499882,1.4405658,0.4699518,-0.24542649,0.35598794,0.040824924,0.44550735,0.10399057,-0.22669426,-0.7478216,-0.48276493,0.5672912,-0.8197609,0.7208791,0.55764,-1.1882375,-0.6577674,0.5402645,0.69589776,0.24608445,0.07869694,-0.6036709,0.17297977,-0.87910545,0.38014048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raloxifene hydrochloride,0.4925678,0.86060137,0.12544578,0.50092447,0.73787487,0.44789663,0.72687894,0.1038681,0.9883809,-0.38634345,0.90962577,-0.15365715,-0.3714862,-0.5875759,0.10106751,0.59407413,-0.92040944,-0.52483296,0.5367334,-0.27575263,-0.681412,1.4725662,2.395706,0.6796505,0.7379168,-1.2991887,-0.7019121,-0.50570315,-0.19838247,0.014122914,-0.29792482,0.24855681,0.7108001,2.6191418,-0.05195524,-0.99332416,3.188781,0.18159522,0.78585577,1.9413843,0.41588733,-0.18758665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapamycin,-2.3098671,0.53391206,1.8248852,2.1967049,-0.47570133,-1.5122999,2.0945396,2.2400844,1.432337,-1.4220113,1.081436,1.4127313,0.8919324,1.2916102,1.4373893,-0.4597304,0.93733805,1.5449916,0.30178532,-0.11466262,-0.22744958,-0.31966144,-0.22561085,-0.39093134,0.22373508,-0.15723327,0.20587642,0.40429693,-0.060332227,-0.041250065,-0.12533303,-0.02287943,0.0019753566,-0.18894376,0.089843296,0.25743642,-0.20791562,0.22021013,-0.10165441,0.06177462,0.082799196,0.26949015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDS,0.21267837,-1.5872278,-1.1681975,-2.0957074,1.531287,-1.1218097,0.8125145,2.7561114,0.00054519676,0.7245358,0.096154876,-2.5041187,1.9753879,1.0007898,0.3096084,0.2859316,-1.8634328,0.4222484,-0.055013884,0.13880262,0.011682873,-0.3367825,0.0582853,-0.7428085,-0.71390134,-0.0042864373,-0.4079791,0.1303123,0.66923875,0.59152305,-0.25724608,0.5048837,0.29963854,-0.15137805,1.3723813,0.47951832,-0.24547839,-0.027264806,0.91122943,0.5683607,0.58154833,-0.026721098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorbitol,-0.78117985,-1.8227966,1.3944737,0.25987723,-0.01295941,-0.25670737,-1.7748611,-0.39013645,1.5749483,1.7702261,-1.6055462,-0.6478369,-1.0050908,-0.111224905,0.9514899,-0.26720774,-0.7344242,1.4633542,-0.77032834,-0.36676913,1.6259778,-0.95888823,1.3974296,-1.3761674,1.4495031,-0.5784695,2.0027423,-1.1761677,0.3413744,-0.20794939,1.0294838,0.33821264,-0.33652735,0.8464448,-0.80425197,0.28085563,0.10127178,-0.04366891,-0.36355463,0.23713785,-0.3056973,0.49358034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staurosporine,0.36226502,0.7866998,-0.34730974,1.1078255,0.4676052,1.4895968,1.8170104,0.09252115,-1.0393479,3.8815672,-1.210676,0.48923334,1.5065408,-0.46859977,0.9939178,-0.053383898,1.9178039,0.26647842,-1.8630576,-0.22328405,-1.8343585,0.27582642,0.5744326,-0.07572356,0.105354816,0.4097646,-0.33441183,-0.59870267,0.14145586,0.35815424,-0.22736867,0.36718127,-0.6692786,0.27935612,0.2522134,0.06846614,-0.22663262,-0.23761246,-0.17868674,-0.22691707,0.026572686,-0.07514429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfometuron methyl,0.63602084,0.3227382,0.49410895,-0.7916681,-1.5282615,0.86285126,-0.18353027,0.48998934,-0.81634384,-0.26404512,1.6952902,-0.17998943,0.6075291,1.0473101,0.36362168,-0.048908874,0.048301574,-1.8158264,-1.8526475,0.5789065,-0.52281976,0.57854617,-2.2013328,-0.64618134,1.2056174,-1.9097096,2.3803775,-0.61471057,0.10423309,0.5449296,1.2008933,1.4791223,1.5097367,-0.4264076,-0.45290178,-0.04602846,0.9752486,0.39064187,-0.19691502,-0.41820717,0.036450263,-0.124775074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamoxifen,0.969016,0.7444469,0.5923007,-0.3031952,1.0069329,-1.113519,-0.36856145,-0.056892775,-0.21120098,-0.15642923,-0.30621025,0.1728159,-0.99912673,0.28228748,-0.15856181,0.61704373,0.27520606,0.18882921,0.4386832,0.16837679,-0.7117205,-0.018813703,0.63392556,-0.19274229,0.2148175,0.07641272,0.077364266,0.100784004,-0.32073754,1.1721418,0.2051994,-0.22427414,0.28765923,-0.33339018,0.106534965,1.5629948,-0.0059316154,0.98504776,-1.2021616,-2.048912,3.796807,-1.316482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichostatin A,0.43954617,0.3340274,1.0603483,-1.4436692,-0.32198066,-1.0239228,-0.40673733,0.014358293,-0.26836258,0.17525367,-0.8943779,-0.16626023,-0.8269776,0.95679104,-0.40153292,-0.36522678,2.116911,-1.0361085,2.2089365,-0.8199602,-2.3133807,-0.5726577,1.2649832,-1.6634401,-1.555305,0.06309166,1.6264949,1.0965807,-0.016640907,-0.70211047,0.6303705,0.5927986,0.17763011,-0.09962385,0.35353902,-1.9047818,-0.3818972,-0.75979227,0.77205384,0.6165861,-0.4075809,-0.13493286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trifluoperazine dihydrochloride,0.9995034,0.4951309,0.020014659,0.48323733,0.31154805,0.42011723,1.248236,-0.23812787,0.207942,-1.0480537,-0.81966525,0.09959718,0.5559565,-0.23232122,-0.37058908,-0.31508338,-0.11976035,-0.0707685,-0.5311811,0.11153102,2.18461,0.9514786,0.6063353,0.64599603,-2.8940818,-0.6855434,1.911782,-1.5556488,-1.3090539,-1.1643932,1.1205696,3.7382797e-05,-1.7475334,-0.28382182,1.5059402,-0.37762552,-0.006019086,1.2918283,1.1521997,-1.2225477,0.36157817,-0.14604959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunicamycin,-1.2217667,-0.09355883,-0.5775455,-0.34363797,0.39816275,3.482206,-0.41723132,3.0987866,-1.0971754,-1.3032181,-1.7890198,-0.65702176,-2.502315,-0.70814294,0.9038642,-0.37778842,0.7720426,0.5198372,1.1018918,0.37654966,-0.010645215,0.32139674,-0.7546329,0.60537356,0.12515178,-0.2799031,-0.12791702,-0.0297352,-0.2847652,0.14245775,-0.08991523,0.3124162,-0.08748119,0.16675971,-0.17474997,0.09277429,-0.07435635,-0.057499122,-0.18586159,-0.15376972,0.06924978,-0.050058324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-73122,0.18338282,0.9362223,-1.4391712,0.32419047,1.0610667,-0.26597524,0.85390997,0.8435898,0.83097935,0.0021834478,-0.67575306,0.8533846,0.52480716,-1.0147232,-2.39829,-1.0019289,1.1371732,-1.8958489,0.96548104,-0.9177631,1.8502884,-2.076835,-0.2933699,-0.3851197,2.4347706,-0.11267376,0.3901377,0.10115324,1.4199256,1.2269961,0.42912912,-0.574552,-0.1434983,-0.14609075,0.6029425,-0.24557246,0.45330843,0.50676394,0.44318226,-0.41126978,-0.5227884,0.028015554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valinomycin,-1.19495,0.047493514,0.2611187,-2.3094702,-1.144084,0.1621525,2.291182,-0.7287279,-2.7950857,0.17082168,1.3160961,1.3863659,-1.4430263,-0.54442143,-0.75796056,-0.6291363,-1.3022294,1.3210921,-0.6987449,-1.6933998,1.1434679,-0.046730656,1.0100764,-1.2429689,-0.015781192,-0.5398016,-0.4211353,0.8025251,0.8139546,-0.15371932,-0.03201595,-0.09109647,-0.5922305,0.35711905,-0.056518395,0.13024998,-0.08844673,-0.13608085,-0.32712963,-0.16099752,0.011476174,-0.26293856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wortmannin,-0.58634585,0.37187403,-1.7559758,0.5512231,-1.3898529,0.020758627,-1.0629501,0.89429355,0.3198207,0.7556186,1.6421785,0.43838006,-0.030082408,-1.7278023,-1.1622864,2.4459283,0.11303901,1.0922322,-0.19395971,2.4556723,-0.6276874,-2.0615785,0.49944943,-0.34088892,-1.6658196,-1.4750034,0.6579251,0.5008103,0.30645362,0.13867038,0.05791183,-1.1113813,-0.44001096,0.38667843,-0.6150571,-0.46954066,-0.23801549,-0.021097202,0.14056537,-0.15509415,0.17536433,0.20988962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
